SampleID,Batch,CMO tag,CMO tag - Hu,10X library version,note for CMO tags,Sample collect_date,MouseID,MouseID_New,Replicate,Lineage,Treatment,Tissue,CD45,LN_treatment,Havest_time,HA_tag,QC,Initial num of cells
XZ_62765_XZ_62768_LN.MG1-LN,1,302,302,V3,"For LN, only use odd number, no other samples.",20230905,A,1,1,B6,Control,LN,Positive,WT,1week,No,PASS,3126
XZ_62765_XZ_62768_LN.MG2-LN,1,304,304,V3,"For LN, only use odd number, no other samples.",20230905,B,2,1,B6,Control,LN,Positive,WT,1week,No,PASS,4617
XZ_62765_XZ_62768_LN.MG3-LN,1,306,306,V3,"For LN, only use odd number, no other samples.",20230905,C,3,1,B6,Control,LN,Positive,WT,1week,No,PASS,1610
XZ_62765_XZ_62768_LN.N-MG1-LN,1,308,308,V3,"For LN, only use odd number, no other samples.",20230905,D,4,1,B6,Virus,LN,Positive,WT,1week,No,PASS,9904
XZ_62765_XZ_62768_LN.N-MG2-LN,1,310,310,V3,"For LN, only use odd number, no other samples.",20230905,E,5,1,B6,Virus,LN,Positive,WT,1week,No,PASS,2326
XZ_62765_XZ_62768_LN.N-MG3-LN,1,312,312,V3,"For LN, only use odd number, no other samples.",20230905,F,6,1,B6,Virus,LN,Positive,WT,1week,No,PASS,2619
XZ_62765_XZ_62768_MG.MG1_CD45_negative,1,301,302,V3,All tags been used,20230905,A,1,1,B6,Control,MG,Negative,WT,1week,No,PASS,1723
XZ_62765_XZ_62768_MG.MG1_CD45_positive,1,302,301,V3,All tags been used,20230905,A,1,1,B6,Control,MG,Positive,WT,1week,No,PASS,1565
XZ_62765_XZ_62768_MG.MG2_CD45_negative,1,303,304,V3,All tags been used,20230905,B,2,1,B6,Control,MG,Negative,WT,1week,No,PASS,644
XZ_62765_XZ_62768_MG.MG2_CD45_positive,1,304,303,V3,All tags been used,20230905,B,2,1,B6,Control,MG,Positive,WT,1week,No,PASS,1116
XZ_62765_XZ_62768_MG.MG3_CD45_negative,1,305,306,V3,All tags been used,20230905,C,3,1,B6,Control,MG,Negative,WT,1week,No,PASS,534
XZ_62765_XZ_62768_MG.MG3_CD45_positive,1,306,305,V3,All tags been used,20230905,C,3,1,B6,Control,MG,Positive,WT,1week,No,PASS,1761
XZ_62765_XZ_62768_MG.N-MG1_CD45_negative,1,307,308,V3,All tags been used,20230905,D,4,1,B6,Virus,MG,Negative,WT,1week,No,PASS,1047
XZ_62765_XZ_62768_MG.N-MG1_CD45_positive,1,308,307,V3,All tags been used,20230905,D,4,1,B6,Virus,MG,Positive,WT,1week,No,PASS,6186
XZ_62765_XZ_62768_MG.N-MG2_CD45_negative,1,309,310,V3,All tags been used,20230905,E,5,1,B6,Virus,MG,Negative,WT,1week,No,PASS,1229
XZ_62765_XZ_62768_MG.N-MG2_CD45_positive,1,310,309,V3,All tags been used,20230905,E,5,1,B6,Virus,MG,Positive,WT,1week,No,PASS,1390
XZ_62765_XZ_62768_MG.N-MG3_CD45_negative,1,311,312,V3,All tags been used,20230905,F,6,1,B6,Virus,MG,Negative,WT,1week,No,PASS,894
XZ_62765_XZ_62768_MG.N-MG3_CD45_positive,1,312,311,V3,All tags been used,20230905,F,6,1,B6,Virus,MG,Positive,WT,1week,No,PASS,1713
XZ_63880_XZ_63883_LN.FVB-MG1-LN,2,302,302,V3,"For LN, only use odd number, no other samples.",20231013,G,7,1,FvB,Control,LN,Positive,WT,1week,No,PASS,5626
XZ_63880_XZ_63883_LN.FVB-MG2-LN,2,304,304,V3,"For LN, only use odd number, no other samples.",20231013,H,8,1,FvB,Control,LN,Positive,WT,1week,No,PASS,3599
XZ_63880_XZ_63883_LN.FVB-MG3-LN,2,306,306,V3,"For LN, only use odd number, no other samples.",20231013,I,9,1,FvB,Control,LN,Positive,WT,1week,No,PASS,2646
XZ_63880_XZ_63883_LN.FVB-N-MG1-LN,2,308,308,V3,"For LN, only use odd number, no other samples.",20231013,J,10,1,FvB,Virus,LN,Positive,WT,1week,No,PASS,7499
